task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
MountainCar-v0,kahkm_nlms,kahkm_association,1,0.011682470102467474,0.0,0.9699370260751149,0.0,2.220446049250313e-15,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,10,0.2876337913735592,0.0,0.28338160599852724,0.0,0.007410992918850734,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,20,0.5894878465062009,0.0,-0.4265796490948919,0.0,0.0025141577101827875,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,5,0.11783368781566612,0.0,0.7011710360478722,0.0,0.002361280294826792,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,50,1.064897367660527,0.0,-1.6492245540484287,0.0,0.005811498573872519,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.011682470102467474,0.0,0.9699370260751149,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.2873088871089889,0.0,0.2841910810298466,0.0,1.1102230246251565e-15,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.5887895492450969,0.0,-0.42488974714421746,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.11780780892144593,0.0,0.7012366655235459,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,1.0589835943660724,0.0,-1.6345124194385332,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,1,0.3493685946134364,0.0,0.5783400804094614,0.0,0.061361416857647184,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,10,0.7403910951110967,0.0,0.11217076690068839,0.0,0.13737408652111754,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,20,0.8239469624026655,0.0,0.017628977135003998,0.0,0.036879504356164654,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,5,0.6218684362220007,0.0,0.25099813971084184,0.0,0.20017419643329531,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,50,0.870292974741718,0.0,-0.026449160510274572,0.0,0.012763301287571995,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,1,0.43337992587699437,0.0,0.5569478754363464,0.0,2.220446049250313e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,10,0.9270453605431375,0.0,0.052632163613893224,0.0,1.6653345369377348e-15,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,20,0.9698798619911658,0.0,0.008843876202004775,0.0,2.220446049250313e-15,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,5,0.8133372431494318,0.0,0.16880660443707918,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,50,0.9869434583000638,0.0,-0.004593834314623457,0.0,2.9976021664879227e-15,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,1,0.0010883493119778446,0.0,0.9954968016761804,0.0,3.492302142398357e-05,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,10,0.11798109777092392,0.0,0.5368922447384461,0.0,0.0011326256473593466,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,20,0.45137821848688736,0.0,-0.6687306303993386,0.0,0.0029022615125184046,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,5,0.028585202229696096,0.0,0.8844251895127482,0.0,0.00046390689963614367,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,50,2.7887930891065054,0.0,-7.8880133274567985,0.0,0.01522009580584728,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,1,0.00017385268827568748,0.0,0.9995526178292296,0.0,3.9968028886505635e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,10,0.02060727983259359,0.0,0.94865848095298,0.0,3.3306690738754696e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,20,0.07923906459923725,0.0,0.8082389015472293,0.0,4.218847493575595e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,5,0.004437857787047283,0.0,0.9887454897724596,0.0,2.6645352591003757e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,50,0.45019518219513577,0.0,-0.11998411021132704,0.0,3.552713678800501e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,1,0.00022459788725735796,0.0,0.9994220331514672,0.0,3.3306690738754696e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,10,0.0173621251104802,0.0,0.9567435447910704,0.0,3.552713678800501e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,20,0.10139810008104316,0.0,0.7546133191891317,0.0,3.552713678800501e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,5,0.004247770669878572,0.0,0.989227555108249,0.0,3.774758283725532e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,50,0.38311577781673134,0.0,0.04689432384905601,0.0,4.107825191113079e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,1,8.527003004483113e-05,0.0,0.9997805711748177,0.0,3.9968028886505635e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,10,0.012704754761674354,0.0,0.96834703978967,0.0,3.219646771412954e-15,0.0,1
