abstraction,horizon,n_starts,relative_association_error,association_r2,simplex_violation,seed
kahkm_folding_nlms,1,400,0.0017910268988048168,0.9977712695316271,0.020826889026260963,0
kahkm_folding_nlms,2,399,0.004165818514516779,0.9948194379264971,0.04025311434310007,0
kahkm_folding_nlms,5,396,0.009735925149642109,0.9879158631426576,0.07664777897637426,0
kahkm_folding_nlms,10,391,0.01650302990551778,0.9795809034292529,0.08137523684723161,0
kahkm_folding_nlms,20,381,0.027060176469150325,0.9667266002929993,0.08158317049732934,0
kahkm_folding_nlms,50,351,0.07998471132764517,0.9031899883960599,0.09674787530650218,0
kahkm_folding_nlms,100,301,0.15133189616600054,0.8126918541734327,0.07687495157866599,0
kahkm_folding_nlms,200,201,0.1599975444005398,0.7842431563648544,0.04930492535718307,0
kmeans_hard_nlms,1,400,0.11386643871048867,0.877327186705104,2.220446049250313e-16,0
kmeans_hard_nlms,2,399,0.21858304720135424,0.7645367709319918,4.440892098500626e-16,0
kmeans_hard_nlms,5,396,0.43952060772337154,0.5268233058673626,4.440892098500626e-16,0
kmeans_hard_nlms,10,391,0.5877092737450751,0.36855493295883934,1.1102230246251565e-15,0
kmeans_hard_nlms,20,381,0.7459228107475281,0.20120026904123944,1.5543122344752192e-15,0
kmeans_hard_nlms,50,351,0.9723018925752557,-0.034622261765106854,3.1086244689504383e-15,0
kmeans_hard_nlms,100,301,1.1150881853553862,-0.19540081739573711,5.773159728050814e-15,0
kmeans_hard_nlms,200,201,1.1667408100600014,-0.29470158940985813,9.325873406851315e-15,0
kmeans_distance_nlms,1,400,0.09292832165601589,0.8991347905766632,0.008463738205391204,0
kmeans_distance_nlms,2,399,0.19825434911206757,0.784835315103062,0.015795660548660953,0
kmeans_distance_nlms,5,396,0.4534527657937571,0.5083592089408586,0.031759417775493494,0
kmeans_distance_nlms,10,391,0.6405552266092102,0.30702554977236507,0.04284624112498185,0
kmeans_distance_nlms,20,381,0.7749378785630135,0.16468965842479633,0.04922205791310959,0
kmeans_distance_nlms,50,351,1.03271375060005,-0.10609944992396159,0.01093058084869017,0
kmeans_distance_nlms,100,301,1.0888443458027683,-0.1752659766182667,1.0658141036401503e-14,0
kmeans_distance_nlms,200,201,1.1560992856182097,-0.2912963254748613,1.2434497875801753e-14,0
kmeans_rbf_nlms,1,400,0.030268515519672932,0.9670221693534138,0.02183222552587922,0
kmeans_rbf_nlms,2,399,0.09345429991693513,0.8982129759178427,0.03993216428160052,0
kmeans_rbf_nlms,5,396,0.2739659365983244,0.7019525144171792,0.07868962436078505,0
kmeans_rbf_nlms,10,391,0.3949392231247861,0.5712858387309679,0.1039035501442379,0
kmeans_rbf_nlms,20,381,0.47498005698846224,0.48628635815797394,0.09090746413709871,0
kmeans_rbf_nlms,50,351,0.6142207199297196,0.3406274491025816,0.05513747130283381,0
kmeans_rbf_nlms,100,301,0.693606601843668,0.248518691848565,0.01778647011389189,0
kmeans_rbf_nlms,200,201,0.7996849366910739,0.09993027710862834,0.01057193659384403,0
kahkm_folding_nlms,1,400,0.0014896559613020667,0.9981221637968385,0.019124350830139736,1
kahkm_folding_nlms,2,399,0.0033224254688234978,0.9958145152065772,0.036039706151009536,1
kahkm_folding_nlms,5,396,0.007406065476152164,0.9906884864770283,0.06967711262762318,1
kahkm_folding_nlms,10,391,0.012552809671052932,0.9842705617162393,0.06873356002380918,1
kahkm_folding_nlms,20,381,0.023484641480737454,0.9707820535645417,0.06768718357993092,1
kahkm_folding_nlms,50,351,0.0841523277034655,0.8973259662626283,0.09609083195349817,1
kahkm_folding_nlms,100,301,0.1711253329493371,0.7879281598416765,0.10270194081867572,1
kahkm_folding_nlms,200,201,0.1620389557363507,0.7795153796741954,0.07265307509337461,1
kmeans_hard_nlms,1,400,0.1086058483671633,0.8826453634802925,2.220446049250313e-16,1
kmeans_hard_nlms,2,399,0.20788662557513699,0.7754453761725331,4.440892098500626e-16,1
kmeans_hard_nlms,5,396,0.41904478834071096,0.5478053431844417,8.881784197001252e-16,1
kmeans_hard_nlms,10,391,0.5733948328190962,0.3821456481800377,1.5543122344752192e-15,1
kmeans_hard_nlms,20,381,0.7264844680376644,0.2188354676680342,2.886579864025407e-15,1
kmeans_hard_nlms,50,351,0.8910349769650103,0.050311438533235386,5.10702591327572e-15,1
kmeans_hard_nlms,100,301,0.9908237607692824,-0.06133247676169584,6.8833827526759706e-15,1
kmeans_hard_nlms,200,201,1.0132190304190711,-0.12378691176524703,7.993605777301127e-15,1
kmeans_distance_nlms,1,400,0.08628669633062354,0.9062767479202783,0.013641007890554464,1
kmeans_distance_nlms,2,399,0.18270977937890948,0.8016194583354698,0.023392828466921655,1
kmeans_distance_nlms,5,396,0.41581927622144393,0.5490079562314958,0.05098213055545778,1
kmeans_distance_nlms,10,391,0.608559549737583,0.3410252622386184,0.0801775309913198,1
kmeans_distance_nlms,20,381,0.7560232032990252,0.18327710757741533,0.09523233178532908,1
kmeans_distance_nlms,50,351,0.8953542412673178,0.041043302747511334,0.03218347318716648,1
kmeans_distance_nlms,100,301,0.9524863654718909,-0.02579569732670217,2.886579864025407e-15,1
kmeans_distance_nlms,200,201,0.9382806809909906,-0.04275750219099872,3.1086244689504383e-15,1
kmeans_rbf_nlms,1,400,0.030707926607235023,0.9664432546231436,0.027869458565391077,1
kmeans_rbf_nlms,2,399,0.09238962089128386,0.899075855700808,0.05058726626766259,1
kmeans_rbf_nlms,5,396,0.26995839322267534,0.7054060101116737,0.0926448139416388,1
kmeans_rbf_nlms,10,391,0.40584993180710704,0.5577712380163887,0.1436361602729714,1
kmeans_rbf_nlms,20,381,0.5167103014081563,0.4384125542966746,0.21963955692214993,1
kmeans_rbf_nlms,50,351,0.6286683758329311,0.3235486535589106,0.20710603554228754,1
kmeans_rbf_nlms,100,301,0.6941771199054859,0.24812840812779602,0.18761302971438298,1
kmeans_rbf_nlms,200,201,0.8045709585159729,0.09455601206513164,0.14622196229712078,1
kahkm_folding_nlms,1,400,0.0023862199668524147,0.9970469417875345,0.018751673699561055,2
kahkm_folding_nlms,2,399,0.004998425981876615,0.9938178071279248,0.03610015392968544,2
kahkm_folding_nlms,5,396,0.01051083736377926,0.9870224478324967,0.06557586129319014,2
kahkm_folding_nlms,10,391,0.01668557595682395,0.9794575648888072,0.06957870027735455,2
kahkm_folding_nlms,20,381,0.027575310788778125,0.9662356525029326,0.07551639679473775,2
kahkm_folding_nlms,50,351,0.08651392473553907,0.8954601386765271,0.08904649832611776,2
kahkm_folding_nlms,100,301,0.16928587664026057,0.7905170763147922,0.0729907017774946,2
kahkm_folding_nlms,200,201,0.2166174001221973,0.7097924862201814,0.05065815213945483,2
kmeans_hard_nlms,1,400,0.11389903456363762,0.8775427332030936,2.220446049250313e-16,2
kmeans_hard_nlms,2,399,0.21850327680898102,0.7651058789720809,2.220446049250313e-16,2
kmeans_hard_nlms,5,396,0.44298402155520866,0.5239183195293008,6.661338147750939e-16,2
kmeans_hard_nlms,10,391,0.5970433346375393,0.35935468399785475,8.881784197001252e-16,2
kmeans_hard_nlms,20,381,0.7496854949968716,0.1980228146795715,1.5543122344752192e-15,2
kmeans_hard_nlms,50,351,0.9619927981512063,-0.024006175263753038,3.9968028886505635e-15,2
kmeans_hard_nlms,100,301,1.0922505267149063,-0.17383504900001467,7.549516567451064e-15,2
kmeans_hard_nlms,200,201,1.09751195701251,-0.2158097223817499,1.176836406102666e-14,2
kmeans_distance_nlms,1,400,0.0971990935522167,0.8948668400634129,0.006931502880668993,2
kmeans_distance_nlms,2,399,0.20295529264526235,0.7805040980006451,0.011947974404997135,2
kmeans_distance_nlms,5,396,0.45943246731642357,0.5032877554956916,0.02409360093600253,2
kmeans_distance_nlms,10,391,0.6530569187427031,0.29519398485114623,0.03524996888667292,2
kmeans_distance_nlms,20,381,0.7851307022072106,0.15533032802712188,0.035438748609942984,2
kmeans_distance_nlms,50,351,1.0163249554991838,-0.08784722911412701,0.009839402386508262,2
kmeans_distance_nlms,100,301,1.0783535467017706,-0.16635978238518967,0.001021240897120891,2
kmeans_distance_nlms,200,201,1.1071829530082122,-0.23203250567999012,1.5654144647214707e-14,2
kmeans_rbf_nlms,1,400,0.029210282617340884,0.968256874972621,0.024240129647358583,2
kmeans_rbf_nlms,2,399,0.09084773738937132,0.9012976150768341,0.0445902647469463,2
kmeans_rbf_nlms,5,396,0.2707241351463648,0.7061180345371837,0.08557720451974994,2
kmeans_rbf_nlms,10,391,0.3986960529976977,0.5680033516007106,0.10640108271501962,2
kmeans_rbf_nlms,20,381,0.48637071352647376,0.47474196347817543,0.08707017340783643,2
kmeans_rbf_nlms,50,351,0.6443408979551835,0.30803351201575646,0.06894340906374052,2
kmeans_rbf_nlms,100,301,0.7335805939645734,0.203419005145143,0.04472437313174068,2
kmeans_rbf_nlms,200,201,0.8514994684441478,0.044129066214242285,0.030484633839495026,2
