task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
MountainCar-v0,kahkm_nlms,kahkm_association,1,0.007249904650255357,0.0,0.9804188097147191,0.0,0.001012993903508638,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,10,0.25774878212783686,0.0,0.33069018712620735,0.0,0.026498392129982954,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,20,0.5810354028738692,0.0,-0.450276636250454,0.0,0.007350311924282054,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,5,0.09274887331439123,0.0,0.7538568107317989,0.0,0.01432265367932649,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,50,1.1474184273728576,0.0,-1.7975663183638995,0.0,0.017379602952186983,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.007246626332957253,0.0,0.9804276640870077,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.25602964914724274,0.0,0.3351543501148647,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.5821401239437273,0.0,-0.4530340433710258,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.09201087693737972,0.0,0.7558153550829549,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,1.136547773036102,0.0,-1.7710621454261206,0.0,6.661338147750939e-16,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,1,0.18912348284183025,0.0,0.7559404760343308,0.0,0.021163299087253798,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,10,0.6348282438959165,0.0,0.18748626441173366,0.0,0.04116462279783872,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,20,0.78546262748371,0.0,0.005458464867929447,0.0,0.02802647777897018,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,5,0.45407046961156455,0.0,0.41658503681728476,0.0,0.04160828772066043,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,50,0.8975170828544008,0.0,-0.1221034999078856,0.0,1.7541523789077473e-14,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,1,0.40882336409569137,0.0,0.574760130819016,0.0,2.220446049250313e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,10,0.8936774054066569,0.0,0.07131028584322285,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,20,0.9577778832295641,0.0,0.006449092063727568,0.0,1.4432899320127035e-15,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,5,0.7795268563564587,0.0,0.18966142216200266,0.0,7.771561172376096e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,50,1.0211789327471608,0.0,-0.052191529982496654,0.0,1.7763568394002505e-15,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,1,0.0009428148658579764,0.0,0.9955539531596208,0.0,9.992007221626409e-16,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,10,0.1028474370005348,0.0,0.5410908728486661,0.0,0.0007368339159998859,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,20,0.3966089180624769,0.0,-0.6620531375796883,0.0,0.0016703103194812983,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,5,0.024818581098444988,0.0,0.8857630944644039,0.0,0.00028853303013506675,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,50,2.3516052699975694,0.0,-7.467517205376296,0.0,0.017874457493297705,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,1,5.997646463341859e-05,0.0,0.9998380102051985,0.0,1.4432899320127035e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,10,0.015806466535349298,0.0,0.9589545173729536,0.0,1.2212453270876722e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,20,0.05479625976863442,0.0,0.8632273783950263,0.0,1.1102230246251565e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,5,0.00234105481407089,0.0,0.9937871515028132,0.0,1.3322676295501878e-15,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,50,0.318637268460162,0.0,0.22311785417233998,0.0,1.3322676295501878e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,1,4.360543027058418e-05,0.0,0.9998822265576183,0.0,1.5543122344752192e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,10,0.010842771577719087,0.0,0.9718440050199071,0.0,1.1102230246251565e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,20,0.0767509627062051,0.0,0.8084279762093907,0.0,1.2212453270876722e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,5,0.0016927107946982452,0.0,0.9955077704059712,0.0,1.3322676295501878e-15,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,50,0.2934749949837572,0.0,0.28446698984224916,0.0,1.5543122344752192e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,1,3.54676333108727e-05,0.0,0.9999042058467894,0.0,9.992007221626409e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,10,0.0076198846336756,0.0,0.9802130449805353,0.0,1.5543122344752192e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,20,0.04593086341975183,0.0,0.8853555949069477,0.0,1.2212453270876722e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,5,0.0010025772026467207,0.0,0.9973392932838057,0.0,1.5543122344752192e-15,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,50,0.8120760195653579,0.0,-0.9799547105833841,0.0,2.220446049250313e-15,0.0,1
